name,points,,age,,stance
1,Saul Alvarez,687.4,super middle,57 1 2,orthodox
2,Terence Crawford,451.3,welter,38 0 0,southpaw
3,Oleksandr Usyk,438.7,heavy,19 0 0,southpaw
4,Gennadiy Golovkin,437.1,middle,41 1 1,orthodox
5,Tyson Fury,379.9,heavy,31 0 1,orthodox
6,Anthony Joshua,312,heavy,24 2 0,orthodox
7,Mairis Briedis,261.8,cruiser,28 1 0,orthodox
8,Callum Smith,214.6,light heavy,28 1 0,orthodox
9,Yordenis Ugas,208.8,welter,27 4 0,orthodox
10,Josh Taylor,201.5,super light,18 0 0,southpaw
11,Juan Francisco Estrada,195.5,super fly,42 3 0,orthodox
12,Oscar Valdez,193.3,super feather,30 0 0,orthodox
13,Artur Beterbiev,184.7,light heavy,16 0 0,orthodox
14,Deontay Wilder,177.7,heavy,42 2 1,orthodox
15,Regis Prograis,177.5,super light,26 1 0,southpaw
16,Dillian Whyte,175.4,heavy,28 2 0,orthodox
17,Jose Zepeda,173.6,super light,35 2 0,southpaw
18,Roman Gonzalez,163.1,super fly,50 3 0,orthodox
19,Naoya Inoue,159.9,bantam,22 0 0,orthodox
20,Jermell Charlo,155,super welter,34 1 1,orthodox
21,Brian Carlos Castano,154.9,super welter,17 0 2,orthodox
22,Gervonta Davis,143.7,light,26 0 0,southpaw
23,Dmitry Bivol,143.6,light heavy,19 0 0,orthodox
24,Jose Carlos Ramirez,137.8,super light,26 1 0,orthodox
25,Nonito Donaire,135.7,bantam,42 6 0,orthodox
26,Chris Eubank Jr,134.6,middle,31 2 0,orthodox
27,Erislandy Lara,133.7,middle,28 3 3,southpaw
28,Jermall Charlo,125.6,middle,32 0 0,orthodox
29,Vasyl Lomachenko,123.9,light,16 2 0,southpaw
30,George Kambosos Jnr,123.5,light,20 0 0,orthodox
31,Teofimo Lopez,120,light,16 1 0,orthodox
32,Joe Smith Jr,110.5,light heavy,27 3 0,orthodox
33,Devin Haney,106.4,light,27 0 0,orthodox
34,Demetrius Andrade,106.3,middle,31 0 0,southpaw
35,Shakur Stevenson,105.1,super feather,17 0 0,southpaw
36,Gilberto Ramirez,103.3,light heavy,42 0 0,southpaw
37,Jaime Munguia,102.6,middle,38 0 0,orthodox
38,Joseph Parker,98.67,heavy,29 2 0,orthodox
39,Emanuel Navarrete,97.51,feather,35 1 0,orthodox
40,Sandor Martin,97.46,super light,39 2 0,southpaw
41,Abel Ramos,90.79,welter,27 4 2,orthodox
42,Billy Joe Saunders,89.9,super middle,30 1 0,southpaw
43,Wisaksil Wangek,86.47,super fly,50 5 1,southpaw
44,Yuniel Dorticos,86.03,cruiser,25 2 0,orthodox
45,Vergil Ortiz Jr,85.25,welter,18 0 0,orthodox
46,Jose Pedraza,83.31,super light,29 3 0,orthodox
47,Kazuto Ioka,82.23,super fly,27 2 0,orthodox
48,Mikey Garcia,79.68,welter,40 2 0,orthodox
49,Ilunga Junior Makabu,78.32,cruiser,28 2 0,southpaw
50,Thabiso Mchunu,77.37,cruiser,23 5 0,southpaw